fullName,rating,jersey,team,bDay,height,weight,salary,country
DJ Wilson,72,5,Milwaukee Bucks,02/19/1996,208,234,2961120,USA
James Johnson,75,0,Minnesota Timberwolves,02/20/1987,201,245,15349400,USA
Jarrett Culver,77,23,Minnesota Timberwolves,02/20/1999,198,195,5813640,USA
Rajon Rondo,76,9,Los Angeles Lakers,02/22/1986,185,186,2564753,USA
Elfrid Payton,76,6,New York Knicks,02/22/1994,191,185,8000000,USA
Devonte Graham,69,0,Charlotte Hornets,02/22/1995,185,185,1416852,USA
Jerome Robinson,71,1,Washington Wizards,02/22/1997,193,190,3567720,USA
Andrew Wiggins,79,22,Golden State Warriors,02/23/1995,201,197,27504630,Canada
D'Angelo Russell,87,0,Minnesota Timberwolves,02/23/1996,193,193,27285000,USA
Jamal Murray,84,27,Denver Nuggets,02/23/1997,193,201,4444746,Canada
Joakim Noah,74,0,Los Angeles Clippers,02/25/1985,211,227,6813026,USA
E'Twaun Moore,74,55,New Orleans Pelicans,02/25/1989,191,191,8664928,USA
Fred VanVleet,79,23,Toronto Raptors,02/25/1994,185,197,9346153,USA
Mario Hezonja,75,44,Portland Trail Blazers,02/25/1995,203,201,1737145,Croatia
Thon Maker,72,7,Detroit Pistons,02/25/1997,213,216,3569643,Australia
Meyers Leonard,76,0,Miami Heat,02/27/1992,213,245,11286515,USA
Alex Caruso,73,4,Los Angeles Lakers,02/28/1994,196,186,2750000,USA
Luka Doncic,87,77,Dallas Mavericks,02/28/1999,201,227,7683360,Slovenia
Tristan Thompson,79,13,Cleveland Cavaliers,03/13/1991,206,225,18539130,Canada
Landry Shamet,76,20,Los Angeles Clippers,03/13/1997,193,180,1995120,USA
Stephen Curry,95,30,Golden State Warriors,03/14/1988,191,185,40231758,USA
Marvin Bagley,83,35,Sacramento Kings,03/14/1999,211,235,8556120,USA
Jabari Parker,78,0,Sacramento Kings,03/15/1995,203,235,6500000,USA
Blake Griffin,88,23,Detroit Pistons,03/16/1989,206,252,34449964,USA
Reggie Bullock,74,25,New York Knicks,03/16/1991,198,200,4000000,USA
Tim Hardaway Jr,77,11,Dallas Mavericks,03/16/1992,196,199,20025127,USA
Joel Embiid,91,21,Philadelphia 76ers,03/16/1994,213,250,27504630,Cameroon
Kyle Korver,75,26,Milwaukee Bucks,03/17/1981,201,212,6004753,USA
Terry Rozier,78,3,Charlotte Hornets,03/17/1994,185,190,19894737,USA
Solomon Hill,70,44,Miami Heat,03/18/1991,198,226,13290395,USA
Kris Dunn,75,32,Chicago Bulls,03/18/1994,191,205,5348007,USA
Skal Labissiere,70,0,Atlanta Hawks,03/18/1996,208,216,2338846,Haiti
Ivica Zubac,77,40,Los Angeles Clippers,03/18/1997,213,265,6481482,Croatia
JaKarr Sampson,71,14,Indiana Pacers,03/20/1993,201,223,1737145,USA
Darius Miller,72,21,New Orleans Pelicans,03/21/1990,198,225,7250000,USA
Miles Bridges,76,0,Charlotte Hornets,03/21/1998,198,225,3755400,USA
Taurean Prince,77,2,Brooklyn Nets,03/22/1994,201,220,3481985,USA
Chimezie Metu,71,7,San Antonio Spurs,03/22/1997,206,225,1416852,Nigeria
Gordon Hayward,80,20,Boston Celtics,03/23/1990,201,207,32700690,USA
Kyrie Irving,91,11,Brooklyn Nets,03/23/1992,188,180,31742000,Australia
Quinn Cook,74,2,Los Angeles Lakers,03/23/1993,185,180,3000000,USA
Myles Turner,82,33,Indiana Pacers,03/24/1996,211,239,18000000,USA
Kyle Lowry,85,7,Toronto Raptors,03/25/1986,183,205,33296296,USA
Marco Belinelli,75,18,San Antonio Spurs,03/25/1986,196,200,5846154,Italy
TJ McConnell,75,9,Indiana Pacers,03/25/1992,185,200,3500000,USA
Kyle O'Quinn,74,9,Philadelphia 76ers,03/26/1990,206,240,2174318,USA
Ryan Arcidiacono,72,51,Chicago Bulls,03/26/1994,191,195,3000000,Italy
